length_scale,process_noise,lml
0.5,0.01,-2.15935e+06
0.5,0.0304167,-771916
0.5,0.0508333,-472880
0.5,0.07125,-342074
0.5,0.0916667,-268649
0.5,0.112083,-221655
0.5,0.1325,-188978
0.5,0.152917,-164973
0.5,0.173333,-146565
0.5,0.19375,-132007
0.5,0.214167,-120212
0.5,0.234583,-110460
0.5,0.255,-102271
0.5,0.275417,-95270.5
0.5,0.295833,-89266.8
0.5,0.31625,-84032.5
0.5,0.336667,-79401.9
0.5,0.357083,-75317
0.5,0.3775,-71674.6
0.5,0.397917,-68413.5
0.5,0.418333,-65468.1
0.5,0.43875,-62783.5
0.5,0.459167,-60351.5
0.5,0.479583,-58140.7
0.5,0.5,-56077.8
0.6875,0.01,-1.31474e+06
0.6875,0.0304167,-465430
0.6875,0.0508333,-287312
0.6875,0.07125,-209809
0.6875,0.0916667,-166397
0.6875,0.112083,-138626
0.6875,0.1325,-119300
0.6875,0.152917,-105108
0.6875,0.173333,-94223.2
0.6875,0.19375,-85606.4
0.6875,0.214167,-78631.8
0.6875,0.234583,-72851
0.6875,0.255,-68004.5
0.6875,0.275417,-63857.7
0.6875,0.295833,-60330.5
0.6875,0.31625,-57306.9
0.6875,0.336667,-54450
0.6875,0.357083,-52009.3
0.6875,0.3775,-49884.2
0.6875,0.397917,-47969.1
0.6875,0.418333,-46233.9
0.6875,0.43875,-44711.2
0.6875,0.459167,-43217.5
0.6875,0.479583,-41940.7
0.6875,0.5,-40805.3
0.875,0.01,-878393
0.875,0.0304167,-314187
0.875,0.0508333,-197536
0.875,0.07125,-146876
0.875,0.0916667,-118526
0.875,0.112083,-100377
0.875,0.1325,-87752.8
0.875,0.152917,-78448.5
0.875,0.173333,-71324.2
0.875,0.19375,-65646
0.875,0.214167,-61128.6
0.875,0.234583,-57349.3
0.875,0.255,-54194.7
0.875,0.275417,-51516.1
0.875,0.295833,-49184.1
0.875,0.31625,-47298.2
0.875,0.336667,-45550.8
0.875,0.357083,-43984.7
0.875,0.3775,-42725.2
0.875,0.397917,-41626.7
0.875,0.418333,-40812.1
0.875,0.43875,-40459.1
0.875,0.459167,-41792.3
0.875,0.479583,-nan
0.875,0.5,-nan
1.0625,0.01,-637111
1.0625,0.0304167,-234493
1.0625,0.0508333,-151680
1.0625,0.07125,-115716
1.0625,0.0916667,-95503.6
1.0625,0.112083,-82632.9
1.0625,0.1325,-73586.5
1.0625,0.152917,-67077.9
1.0625,0.173333,-62002.3
1.0625,0.19375,-58090.1
1.0625,0.214167,-54960.4
1.0625,0.234583,-52485.8
1.0625,0.255,-50547.8
1.0625,0.275417,-48980.4
1.0625,0.295833,-48076
1.0625,0.31625,-47852.3
1.0625,0.336667,-50983.5
1.0625,0.357083,-nan
1.0625,0.3775,-nan
1.0625,0.397917,-nan
1.0625,0.418333,-nan
1.0625,0.43875,-nan
1.0625,0.459167,-nan
1.0625,0.479583,-nan
1.0625,0.5,-nan
1.25,0.01,-494340
1.25,0.0304167,-190801
1.25,0.0508333,-128333
1.25,0.07125,-101151
1.25,0.0916667,-85946.8
1.25,0.112083,-76283.1
1.25,0.1325,-69633
1.25,0.152917,-64980.7
1.25,0.173333,-61521.2
1.25,0.19375,-59145.2
1.25,0.214167,-57666.7
1.25,0.234583,-57284.5
1.25,0.255,-60222.4
1.25,0.275417,-nan
1.25,0.295833,-nan
1.25,0.31625,-nan
1.25,0.336667,-nan
1.25,0.357083,-nan
1.25,0.3775,-nan
1.25,0.397917,-nan
1.25,0.418333,-nan
1.25,0.43875,-nan
1.25,0.459167,-nan
1.25,0.479583,-nan
1.25,0.5,-nan
1.4375,0.01,-404667
1.4375,0.0304167,-166082
1.4375,0.0508333,-116867
1.4375,0.07125,-95459.9
1.4375,0.0916667,-83609.1
1.4375,0.112083,-76490.1
1.4375,0.1325,-71704.9
1.4375,0.152917,-68975
1.4375,0.173333,-67991.7
1.4375,0.19375,-69248.3
1.4375,0.214167,-83623.4
1.4375,0.234583,-nan
1.4375,0.255,-nan
1.4375,0.275417,-nan
1.4375,0.295833,-nan
1.4375,0.31625,-nan
1.4375,0.336667,-nan
1.4375,0.357083,-nan
1.4375,0.3775,-nan
1.4375,0.397917,-nan
1.4375,0.418333,-nan
1.4375,0.43875,-nan
1.4375,0.459167,-nan
1.4375,0.479583,-nan
1.4375,0.5,-nan
1.625,0.01,-346399
1.625,0.0304167,-152155
1.625,0.0508333,-111914
1.625,0.07125,-94583.4
1.625,0.0916667,-85412.5
1.625,0.112083,-80356.6
1.625,0.1325,-78003.2
1.625,0.152917,-78560.5
1.625,0.173333,-nan
1.625,0.19375,-nan
1.625,0.214167,-nan
1.625,0.234583,-nan
1.625,0.255,-nan
1.625,0.275417,-nan
1.625,0.295833,-nan
1.625,0.31625,-nan
1.625,0.336667,-nan
1.625,0.357083,-nan
1.625,0.3775,-nan
1.625,0.397917,-nan
1.625,0.418333,-nan
1.625,0.43875,-nan
1.625,0.459167,-nan
1.625,0.479583,-nan
1.625,0.5,-nan
1.8125,0.01,-308384
1.8125,0.0304167,-145733
1.8125,0.0508333,-111927
1.8125,0.07125,-97839.7
1.8125,0.0916667,-91028.4
1.8125,0.112083,-89106.5
1.8125,0.1325,-92673.1
1.8125,0.152917,-nan
1.8125,0.173333,-nan
1.8125,0.19375,-nan
1.8125,0.214167,-nan
1.8125,0.234583,-nan
1.8125,0.255,-nan
1.8125,0.275417,-nan
1.8125,0.295833,-nan
1.8125,0.31625,-nan
1.8125,0.336667,-nan
1.8125,0.357083,-nan
1.8125,0.3775,-nan
1.8125,0.397917,-nan
1.8125,0.418333,-nan
1.8125,0.43875,-nan
1.8125,0.459167,-nan
1.8125,0.479583,-nan
1.8125,0.5,-nan
2,0.01,-283896
2,0.0304167,-144062
2,0.0508333,-114786
2,0.07125,-102885
2,0.0916667,-98052
2,0.112083,-98792.6
2,0.1325,-107189
2,0.152917,-nan
2,0.173333,-nan
2,0.19375,-nan
2,0.214167,-nan
2,0.234583,-nan
2,0.255,-nan
2,0.275417,-nan
2,0.295833,-nan
2,0.31625,-nan
2,0.336667,-nan
2,0.357083,-nan
2,0.3775,-nan
