length_scale,process_noise,lml
0.5,0.01,-2.23243e+06
0.5,0.02,-1.18503e+06
0.5,0.03,-808368
0.5,0.04,-614071
0.5,0.05,-495451
0.5,0.06,-415486
0.5,0.07,-357926
0.5,0.08,-314517
0.5,0.09,-280612
0.5,0.1,-253383
0.5,0.11,-231059
0.5,0.12,-212408
0.5,0.13,-196596
0.5,0.14,-183029
0.5,0.15,-171251
0.5,0.16,-160947
0.5,0.17,-151840
0.5,0.18,-143744
0.5,0.19,-136484
0.5,0.2,-129959
0.5,0.21,-124047
0.5,0.22,-118677
0.5,0.23,-113766
0.5,0.24,-109271
0.5,0.25,-105128
0.5,0.26,-101306
0.5,0.27,-97767.5
0.5,0.28,-94481.2
0.5,0.29,-91429.2
0.5,0.3,-88573.7
0.5,0.31,-85906.7
0.5,0.32,-83395.2
0.5,0.33,-81051.5
0.5,0.34,-78840.8
0.5,0.35,-76747.6
0.5,0.36,-74783.3
0.5,0.37,-72923.9
0.5,0.38,-71162.2
0.5,0.39,-69490.4
0.5,0.4,-67900.3
0.5,0.41,-66387.3
0.5,0.42,-64951
0.5,0.43,-63577.1
0.5,0.44,-62278.5
0.5,0.45,-61023
0.5,0.46,-59829.7
0.5,0.47,-58690.5
0.5,0.48,-57590.5
0.5,0.49,-56540.8
0.5,0.5,-55537.2
0.591837,0.01,-1.70796e+06
0.591837,0.02,-898427
0.591837,0.03,-611452
0.591837,0.04,-464256
0.591837,0.05,-374643
0.591837,0.06,-314326
0.591837,0.07,-270955
0.591837,0.08,-238269
0.591837,0.09,-212737
0.591837,0.1,-192250
0.591837,0.11,-175449
0.591837,0.12,-161425
0.591837,0.13,-149531
0.591837,0.14,-139326
0.591837,0.15,-130464
0.591837,0.16,-122700
0.591837,0.17,-115858
0.591837,0.18,-109751
0.591837,0.19,-104299
0.591837,0.2,-99380.2
0.591837,0.21,-94932.9
0.591837,0.22,-90888.2
0.591837,0.23,-87185.6
0.591837,0.24,-83799.5
0.591837,0.25,-80677.9
0.591837,0.26,-77803.2
0.591837,0.27,-75137.9
0.591837,0.28,-72650.5
0.591837,0.29,-70354.3
0.591837,0.3,-68198.5
0.591837,0.31,-66173.6
0.591837,0.32,-64300.9
0.591837,0.33,-62523.3
0.591837,0.34,-60851.5
0.591837,0.35,-59284.2
0.591837,0.36,-57794.5
0.591837,0.37,-56390.9
0.591837,0.38,-55052.8
0.591837,0.39,-53797.7
0.591837,0.4,-52599.2
0.591837,0.41,-51453.2
0.591837,0.42,-50370.1
0.591837,0.43,-49335.3
0.591837,0.44,-48351.5
0.591837,0.45,-47399.6
0.591837,0.46,-46494.8
0.591837,0.47,-45638.9
0.591837,0.48,-44804.3
0.591837,0.49,-44017.3
0.591837,0.5,-43257.6
0.683673,0.01,-1.34418e+06
0.683673,0.02,-703295
0.683673,0.03,-478518
0.683673,0.04,-363682
0.683673,0.05,-293917
