length_scale,process_noise,lml
0.5,0.01,-2.21374e+06
0.5,0.0304167,-782702
0.5,0.0508333,-478046
0.5,0.07125,-345055
0.5,0.0916667,-270489
0.5,0.112083,-222776
0.5,0.1325,-189590
0.5,0.152917,-165203
0.5,0.173333,-146509
0.5,0.19375,-131733
0.5,0.214167,-119749
0.5,0.234583,-109850
0.5,0.255,-101542
0.5,0.275417,-94445.7
0.5,0.295833,-88329.8
0.5,0.31625,-83038.6
0.5,0.336667,-78329.3
0.5,0.357083,-74160.4
0.5,0.3775,-70475.5
0.5,0.397917,-67153.8
0.5,0.418333,-64171.6
0.5,0.43875,-61463.1
0.5,0.459167,-58986.7
0.5,0.479583,-56718.6
0.5,0.5,-54660
0.6875,0.01,-1.32656e+06
0.6875,0.0304167,-465546
0.6875,0.0508333,-286242
0.6875,0.07125,-208327
0.6875,0.0916667,-164716
0.6875,0.112083,-136791
0.6875,0.1325,-117378
0.6875,0.152917,-103136
0.6875,0.173333,-92191.4
0.6875,0.19375,-83526.7
0.6875,0.214167,-76534.5
0.6875,0.234583,-70750.9
0.6875,0.255,-65869.2
0.6875,0.275417,-61737.9
0.6875,0.295833,-58200.9
0.6875,0.31625,-55185
0.6875,0.336667,-52439.9
0.6875,0.357083,-50063.3
0.6875,0.3775,-47991.3
0.6875,0.397917,-46152.6
0.6875,0.418333,-44506.9
0.6875,0.43875,-43172.8
0.6875,0.459167,-42021.3
0.6875,0.479583,-41327.6
0.6875,0.5,-nan
0.875,0.01,-889419
0.875,0.0304167,-316962
0.875,0.0508333,-198848
0.875,0.07125,-147565
0.875,0.0916667,-118822
0.875,0.112083,-100501
0.875,0.1325,-87737.5
0.875,0.152917,-78386
0.875,0.173333,-71278.7
0.875,0.19375,-65712.4
0.875,0.214167,-61333.2
0.875,0.234583,-57836.3
0.875,0.255,-55120.1
0.875,0.275417,-53037.6
0.875,0.295833,-51779
0.875,0.31625,-52057.4
0.875,0.336667,-nan
0.875,0.357083,-nan
0.875,0.3775,-nan
0.875,0.397917,-nan
0.875,0.418333,-nan
0.875,0.43875,-nan
0.875,0.459167,-nan
0.875,0.479583,-nan
0.875,0.5,-nan
1.0625,0.01,-651418
1.0625,0.0304167,-241391
1.0625,0.0508333,-156895
1.0625,0.07125,-120271
1.0625,0.0916667,-99720
1.0625,0.112083,-86730.4
1.0625,0.1325,-77898.6
1.0625,0.152917,-71784.1
1.0625,0.173333,-67496.9
1.0625,0.19375,-65017.9
1.0625,0.214167,-64741
1.0625,0.234583,-nan
1.0625,0.255,-nan
1.0625,0.275417,-nan
1.0625,0.295833,-nan
1.0625,0.31625,-nan
1.0625,0.336667,-nan
1.0625,0.357083,-nan
1.0625,0.3775,-nan
1.0625,0.397917,-nan
1.0625,0.418333,-nan
1.0625,0.43875,-nan
1.0625,0.459167,-nan
1.0625,0.479583,-nan
1.0625,0.5,-nan
1.25,0.01,-512085
1.25,0.0304167,-201634
1.25,0.0508333,-137473
1.25,0.07125,-109716
1.25,0.0916667,-94610.9
1.25,0.112083,-85802.2
1.25,0.1325,-80952.5
1.25,0.152917,-nan
1.25,0.173333,-nan
1.25,0.19375,-nan
1.25,0.214167,-nan
1.25,0.234583,-nan
1.25,0.255,-nan
1.25,0.275417,-nan
1.25,0.295833,-nan
1.25,0.31625,-nan
1.25,0.336667,-nan
1.25,0.357083,-nan
1.25,0.3775,-nan
1.25,0.397917,-nan
1.25,0.418333,-nan
1.25,0.43875,-nan
1.25,0.459167,-nan
1.25,0.479583,-nan
1.25,0.5,-nan
1.4375,0.01,-426754
1.4375,0.0304167,-181410
1.4375,0.0508333,-130579
1.4375,0.07125,-109109
1.4375,0.0916667,-98663
1.4375,0.112083,-95332.9
1.4375,0.1325,-nan
1.4375,0.152917,-nan
