length_scale,process_noise,lml
0.5,0.01,-1.24842e+06
0.5,0.02,-696350
0.5,0.03,-485696
0.5,0.04,-374421
0.5,0.05,-305564
0.5,0.06,-258771
0.5,0.07,-224904
0.5,0.08,-199238
0.5,0.09,-179121
0.5,0.1,-162942
0.5,0.11,-149656
0.5,0.12,-138510
0.5,0.13,-129069
0.5,0.14,-120951
0.5,0.15,-113896
0.5,0.16,-107714
0.5,0.17,-102245
0.5,0.18,-97390.7
0.5,0.19,-93013.7
0.5,0.2,-89094.1
0.5,0.21,-85533.7
0.5,0.22,-82293.9
0.5,0.23,-79347.2
0.5,0.24,-76626.6
0.5,0.25,-74126.3
0.5,0.26,-71820.9
0.5,0.27,-69695.5
0.5,0.28,-67694.4
0.5,0.29,-65849.7
0.5,0.3,-64120.7
0.5,0.31,-62505
0.5,0.32,-60994.5
0.5,0.33,-59567.7
0.5,0.34,-58219.8
0.5,0.35,-56955.5
0.5,0.36,-55748.3
0.5,0.37,-54637.8
0.5,0.38,-53559.5
0.5,0.39,-52546.1
0.5,0.4,-51580.5
0.5,0.41,-50660.1
0.5,0.42,-49786
0.5,0.43,-48941.6
0.5,0.44,-48162.1
0.5,0.45,-47397.9
0.5,0.46,-46668.1
0.5,0.47,-45975.8
0.5,0.48,-45300.8
0.5,0.49,-44664.6
0.5,0.5,-44052
0.591837,0.01,-1.09173e+06
0.591837,0.02,-603587
0.591837,0.03,-420027
0.591837,0.04,-323630
0.591837,0.05,-264181
0.591837,0.06,-223847
0.591837,0.07,-194691
0.591837,0.08,-172625
0.591837,0.09,-155356
0.591837,0.1,-141456
0.591837,0.11,-130040
0.591837,0.12,-120500
0.591837,0.13,-112388
0.591837,0.14,-105429
0.591837,0.15,-99385.5
0.591837,0.16,-94083.8
0.591837,0.17,-89400.5
0.591837,0.18,-85232.8
0.591837,0.19,-81495.3
0.591837,0.2,-78127.4
0.591837,0.21,-75092.5
0.591837,0.22,-72321
0.591837,0.23,-69788.9
0.591837,0.24,-67456.2
0.591837,0.25,-65318.2
0.591837,0.26,-63348.5
0.591837,0.27,-61515.9
0.591837,0.28,-59821.4
0.591837,0.29,-58239.2
0.591837,0.3,-56762.3
0.591837,0.31,-55380.1
0.591837,0.32,-54077.3
0.591837,0.33,-52860.2
0.591837,0.34,-51714.1
0.591837,0.35,-50636.7
0.591837,0.36,-49613.2
0.591837,0.37,-48643.8
0.591837,0.38,-47728.8
0.591837,0.39,-46861.2
0.591837,0.4,-46051.9
0.591837,0.41,-45252.1
0.591837,0.42,-44509.6
0.591837,0.43,-43797.1
0.591837,0.44,-43117.7
0.591837,0.45,-42460.8
0.591837,0.46,-41847.6
0.591837,0.47,-41241
0.591837,0.48,-40675.6
0.591837,0.49,-40132.2
0.591837,0.5,-39605.2
0.683673,0.01,-947561
0.683673,0.02,-519872
0.683673,0.03,-361202
0.683673,0.04,-278315
0.683673,0.05,-227324
0.683673,0.06,-192814
0.683673,0.07,-167885
0.683673,0.08,-149035
0.683673,0.09,-134282
0.683673,0.1,-122442
0.683673,0.11,-112701
0.683673,0.12,-104563
0.683673,0.13,-97651.7
0.683673,0.14,-91719.8
0.683673,0.15,-86549.6
0.683673,0.16,-82031.2
0.683673,0.17,-78054.9
0.683673,0.18,-74503.7
0.683673,0.19,-71322.6
0.683673,0.2,-68458.6
0.683673,0.21,-65863.6
0.683673,0.22,-63492.1
0.683673,0.23,-61358.4
0.683673,0.24,-59370.1
0.683673,0.25,-57541.9
0.683673,0.26,-55866.5
0.683673,0.27,-54310.1
0.683673,0.28,-52849
0.683673,0.29,-51517.7
0.683673,0.3,-50256.6
0.683673,0.31,-49084
0.683673,0.32,-47966.7
0.683673,0.33,-46934.6
0.683673,0.34,-45962.5
0.683673,0.35,-45031.8
0.683673,0.36,-44178.5
0.683673,0.37,-43357.9
0.683673,0.38,-42580
0.683673,0.39,-41833.3
0.683673,0.4,-41135.6
0.683673,0.41,-40476.6
0.683673,0.42,-39837
0.683673,0.43,-39227.8
0.683673,0.44,-38654.6
0.683673,0.45,-38101.4
0.683673,0.46,-37569.2
0.683673,0.47,-37064.4
0.683673,0.48,-36575.9
0.683673,0.49,-36111.2
0.683673,0.5,-35670.2
0.77551,0.01,-821862
0.77551,0.02,-448176
0.77551,0.03,-311188
0.77551,0.04,-239928
0.77551,0.05,-196240
0.77551,0.06,-166676
0.77551,0.07,-145366
0.77551,0.08,-129256
0.77551,0.09,-116642
0.77551,0.1,-106504
0.77551,0.11,-98194.3
0.77551,0.12,-91230.5
0.77551,0.13,-85332
0.77551,0.14,-80254.1
0.77551,0.15,-75851.6
0.77551,0.16,-71994.5
0.77551,0.17,-68591.5
0.77551,0.18,-65566.4
0.77551,0.19,-62861.1
0.77551,0.2,-60388.6
0.77551,0.21,-58175
0.77551,0.22,-56182.7
0.77551,0.23,-54330.1
0.77551,0.24,-52638.6
0.77551,0.25,-51073.7
0.77551,0.26,-49646.7
0.77551,0.27,-48324.8
0.77551,0.28,-47092.8
0.77551,0.29,-45924.9
0.77551,0.3,-44854
0.77551,0.31,-43859.2
0.77551,0.32,-42920.4
0.77551,0.33,-42022.9
0.77551,0.34,-41186.4
0.77551,0.35,-40411.2
0.77551,0.36,-39658.3
0.77551,0.37,-38955.3
0.77551,0.38,-38303.3
0.77551,0.39,-37679.2
0.77551,0.4,-37058
0.77551,0.41,-36496.1
0.77551,0.42,-35946.1
0.77551,0.43,-35432.4
0.77551,0.44,-34955.6
0.77551,0.45,-34482.7
0.77551,0.46,-34014.6
0.77551,0.47,-33591.1
0.77551,0.48,-33170.3
0.77551,0.49,-32785.1
0.77551,0.5,-32385.1
0.867347,0.01,-715711
0.867347,0.02,-388644
0.867347,0.03,-269916
0.867347,0.04,-208403
0.867347,0.05,-170722
0.867347,0.06,-145300
0.867347,0.07,-126960
0.867347,0.08,-113100
0.867347,0.09,-102273
0.867347,0.1,-93561.1
0.867347,0.11,-86410.3
0.867347,0.12,-80430.3
0.867347,0.13,-75363.2
0.867347,0.14,-71004.5
0.867347,0.15,-67231.3
0.867347,0.16,-63913.8
0.867347,0.17,-60971.5
0.867347,0.18,-58363.8
0.867347,0.19,-56048.8
0.867347,0.2,-53939
0.867347,0.21,-52032.3
0.867347,0.22,-50293.7
0.867347,0.23,-48710.3
0.867347,0.24,-47260.5
0.867347,0.25,-45920.6
0.867347,0.26,-44681.7
0.867347,0.27,-43532.4
0.867347,0.28,-42473.6
0.867347,0.29,-41489.4
0.867347,0.3,-40559.1
0.867347,0.31,-39706.6
0.867347,0.32,-38885
0.867347,0.33,-38116.6
0.867347,0.34,-37416.7
0.867347,0.35,-36729.3
0.867347,0.36,-36101.3
0.867347,0.37,-35485.6
0.867347,0.38,-34918
0.867347,0.39,-34371.4
0.867347,0.4,-33855.7
0.867347,0.41,-33358.1
0.867347,0.42,-32889.5
0.867347,0.43,-32443.6
0.867347,0.44,-32022.2
0.867347,0.45,-31615.8
0.867347,0.46,-31231
0.867347,0.47,-30852.9
0.867347,0.48,-30493.4
0.867347,0.49,-30140.6
0.867347,0.5,-29802.8
0.959184,0.01,-627469
0.959184,0.02,-340001
0.959184,0.03,-236430
0.959184,0.04,-182923
0.959184,0.05,-150187
0.959184,0.06,-128102
0.959184,0.07,-112209
0.959184,0.08,-100167
0.959184,0.09,-90794
0.959184,0.1,-83229
0.959184,0.11,-77027.2
0.959184,0.12,-71845
0.959184,0.13,-67453.7
0.959184,0.14,-63658.1
0.959184,0.15,-60411.1
0.959184,0.16,-57507.1
0.959184,0.17,-54981.5
0.959184,0.18,-52697.9
0.959184,0.19,-50671.1
0.959184,0.2,-48842.2
0.959184,0.21,-47193.3
0.959184,0.22,-45691.8
0.959184,0.23,-44318.8
0.959184,0.24,-43051.7
0.959184,0.25,-41895.4
0.959184,0.26,-40811.4
0.959184,0.27,-39815.7
0.959184,0.28,-38895.6
0.959184,0.29,-38031.2
0.959184,0.3,-37233.4
0.959184,0.31,-36494
0.959184,0.32,-35794.9
0.959184,0.33,-35145.2
0.959184,0.34,-34503.1
0.959184,0.35,-33907
0.959184,0.36,-33357.9
0.959184,0.37,-32845
0.959184,0.38,-32311.3
0.959184,0.39,-31819.3
0.959184,0.4,-31400
0.959184,0.41,-30971.7
0.959184,0.42,-30583.1
0.959184,0.43,-30167.4
0.959184,0.44,-29782
0.959184,0.45,-29459.8
0.959184,0.46,-29085.3
0.959184,0.47,-28788.7
0.959184,0.48,-28454.5
0.959184,0.49,-28159
0.959184,0.5,-27875.1
1.05102,0.01,-554569
1.05102,0.02,-300593
1.05102,0.03,-209600
1.05102,0.04,-162684
1.05102,0.05,-133981
1.05102,0.06,-114632
1.05102,0.07,-100684
1.05102,0.08,-90132.9
1.05102,0.09,-81866.5
1.05102,0.1,-75217
1.05102,0.11,-69801.4
1.05102,0.12,-65250.3
1.05102,0.13,-61354.2
1.05102,0.14,-58049.7
1.05102,0.15,-55184.5
1.05102,0.16,-52663.3
1.05102,0.17,-50423.1
1.05102,0.18,-48425.6
1.05102,0.19,-46606
1.05102,0.2,-45048.4
1.05102,0.21,-43596.7
1.05102,0.22,-42249.4
1.05102,0.23,-41008.4
1.05102,0.24,-39943.8
1.05102,0.25,-38847.4
1.05102,0.26,-37956.7
1.05102,0.27,-37059.9
1.05102,0.28,-36226.4
1.05102,0.29,-35483.6
1.05102,0.3,-34778.2
1.05102,0.31,-34090.3
1.05102,0.32,-33491.9
1.05102,0.33,-32911
1.05102,0.34,-32367.5
1.05102,0.35,-31815.6
1.05102,0.36,-31318.7
1.05102,0.37,-30868
1.05102,0.38,-30413.3
1.05102,0.39,-29988.3
1.05102,0.4,-29630.6
1.05102,0.41,-29192.2
1.05102,0.42,-28914.8
1.05102,0.43,-28532.4
1.05102,0.44,-28244.5
1.05102,0.45,-27865.2
1.05102,0.46,-27548.1
1.05102,0.47,-27285.9
1.05102,0.48,-26952.9
1.05102,0.49,-26763
1.05102,0.5,-26488.3
1.14286,0.01,-494178
1.14286,0.02,-268560
1.14286,0.03,-188139
1.14286,0.04,-146700
1.14286,0.05,-121356
1.14286,0.06,-104229
1.14286,0.07,-91874.5
1.14286,0.08,-82577.1
1.14286,0.09,-75285.8
1.14286,0.1,-69365.8
1.14286,0.11,-64497.9
1.14286,0.12,-60487.4
1.14286,0.13,-57060.4
1.14286,0.14,-54100.4
1.14286,0.15,-51572.9
1.14286,0.16,-49324.5
1.14286,0.17,-47321.2
1.14286,0.18,-45526.4
1.14286,0.19,-43885.3
1.14286,0.2,-42548
1.14286,0.21,-41192.4
1.14286,0.22,-39938.9
1.14286,0.23,-38889.5
1.14286,0.24,-37878.1
1.14286,0.25,-37001.9
1.14286,0.26,-36136.3
1.14286,0.27,-35309.6
1.14286,0.28,-34600.1
1.14286,0.29,-33921.4
1.14286,0.3,-33343.7
1.14286,0.31,-32733.5
