length_scale,process_noise,lml
0.3,0.01,-3.03449e+06
0.3,0.111837,-339217
0.3,0.213673,-182708
0.3,0.31551,-126440
0.3,0.417347,-97506
0.3,0.519184,-79900.7
0.3,0.62102,-68070.5
0.3,0.722857,-59584.5
0.3,0.824694,-53193
0.3,0.926531,-48227.4
0.3,1.02837,-44239.6
0.3,1.1302,-40989.8
0.3,1.23204,-38273
0.3,1.33388,-35985.9
0.3,1.43571,-34014.7
0.3,1.53755,-32317.7
0.3,1.63939,-31519.6
0.3,1.74122,-29525.4
0.3,1.84306,-28363.1
0.3,1.9449,-27328.2
0.3,2.04673,-27276.6
0.3,2.14857,-25555.8
0.3,2.25041,-24787.6
0.3,2.35224,-24090.3
0.3,2.45408,-23455.4
0.3,2.55592,-22869.1
0.3,2.65776,-22328.7
0.3,2.75959,-21832.6
0.3,2.86143,-21369.8
0.3,2.96327,-22409.4
0.3,3.0651,-21947.7
0.3,3.16694,-20163.1
0.3,3.26878,-19815.7
0.3,3.37061,-19493.1
0.3,3.47245,-19180.4
0.3,3.57429,-18902.7
0.3,3.67612,-18614.5
0.3,3.77796,-18358.5
0.3,3.8798,-18119.4
0.3,3.98163,-17883.4
0.3,4.08347,-17666
0.3,4.18531,-17466.2
0.3,4.28714,-17329.8
0.3,4.38898,-17069.8
0.3,4.49082,-nan
0.3,4.59265,-16748.2
0.3,4.69449,-16569.5
0.3,4.79633,-16421.1
0.3,4.89816,-16309.7
0.3,5,-16104.4
0.3,5.10184,-15981.4
0.3,5.20367,-nan
0.3,5.30551,-15728.8
0.3,5.40735,-15595.1
0.3,5.50918,-15469.4
0.3,5.61102,-15354.5
0.3,5.71286,-15247.2
0.3,5.81469,-15150.5
0.3,5.91653,-15060.8
0.3,6.01837,-15177
0.3,6.1202,-14855
0.3,6.22204,-14856
0.3,6.32388,-14678.6
0.3,6.42571,-14581.5
0.3,6.52755,-14618
0.3,6.62939,-14465.3
0.3,6.73122,-14372.3
0.3,6.83306,-14295.1
0.3,6.9349,-14233.7
0.3,7.03673,-14204.9
0.3,7.13857,-nan
0.3,7.24041,-13998.4
0.3,7.34224,-13958.1
0.3,7.44408,-nan
0.3,7.54592,-13826.3
0.3,7.64776,-nan
0.3,7.74959,-13728.1
0.3,7.85143,-13642.5
0.3,7.95327,-nan
0.3,8.0551,-13664
0.3,8.15694,-13518.6
0.3,8.25878,-13455.3
0.3,8.36061,-13396.7
0.3,8.46245,-13352.7
0.3,8.56429,-13309.7
0.3,8.66612,-13301.7
0.3,8.76796,-13500.5
0.3,8.8698,-nan
0.3,8.97163,-13122
0.3,9.07347,-13124.5
0.3,9.17531,-nan
0.3,9.27714,-13001.3
0.3,9.37898,-20302.2
0.3,9.48082,-12925.3
0.3,9.58265,-nan
0.3,9.68449,-12875.8
0.3,9.78633,-12800.3
0.3,9.88816,-20414.3
0.3,9.99,-12788.9
0.3,10.0918,-12712
0.3,10.1937,-12666
0.3,10.2955,-nan
0.3,10.3973,-nan
0.3,10.4992,-nan
0.3,10.601,-13498.9
0.3,10.7029,-14479.8
0.3,10.8047,-nan
0.3,10.9065,-nan
0.3,11.0084,-12420
0.3,11.1102,-12409.2
0.3,11.212,-12402.4
0.3,11.3139,-12487
0.3,11.4157,-nan
0.3,11.5176,-12300.4
0.3,11.6194,-12342.5
0.3,11.7212,-nan
0.3,11.8231,-12232.8
0.3,11.9249,-12698.8
0.3,12.0267,-12174.9
0.3,12.1286,-12458.9
0.3,12.2304,-12142.2
0.3,12.3322,-nan
0.3,12.4341,-12120.9
0.3,12.5359,-nan
0.3,12.6378,-12229.7
0.3,12.7396,-12043
0.3,12.8414,-11988.4
0.3,12.9433,-21966.8
0.3,13.0451,-12058.6
0.3,13.1469,-11971.1
0.3,13.2488,-11924.4
0.3,13.3506,-11895
0.3,13.4524,-nan
0.3,13.5543,-nan
0.3,13.6561,-12521.1
