length_scale,process_noise,lml
0.3,0.01,-2.46666e+06
0.3,0.111837,-280845
0.3,0.213673,-151627
0.3,0.31551,-105129
0.3,0.417347,-81204.9
0.3,0.519184,-66639.4
0.3,0.62102,-56853.7
0.3,0.722857,-49822.5
0.3,0.824694,-44532.3
0.3,0.926531,-40418.5
0.3,1.02837,-37108.2
0.3,1.1302,-34423.5
0.3,1.23204,-32165.4
0.3,1.33388,-30263.8
0.3,1.43571,-28618.7
0.3,1.53755,-27208
0.3,1.63939,-26192.4
0.3,1.74122,-24899
0.3,1.84306,-23931.2
0.3,1.9449,-23072.1
0.3,2.04673,-22586.1
0.3,2.14857,-21594.3
0.3,2.25041,-20941.6
0.3,2.35224,-20345.3
0.3,2.45408,-19828
0.3,2.55592,-19337.3
0.3,2.65776,-18871.2
0.3,2.75959,-18469.3
0.3,2.86143,-18074
0.3,2.96327,-18269
0.3,3.0651,-17921.6
0.3,3.16694,-17053
0.3,3.26878,-16754.4
0.3,3.37061,-16497.2
0.3,3.47245,-16226.1
0.3,3.57429,-15997.2
0.3,3.67612,-15737.8
0.3,3.77796,-15521.7
0.3,3.8798,-15330.6
0.3,3.98163,-15116.6
0.3,4.08347,-14936.1
0.3,4.18531,-14777.8
0.3,4.28714,-14794.1
0.3,4.38898,-14422.8
0.3,4.49082,-nan
0.3,4.59265,-14215.3
0.3,4.69449,-14033.1
0.3,4.79633,-13908
0.3,4.89816,-13889.7
0.3,5,-13583.1
0.3,5.10184,-13500.4
0.3,5.20367,-nan
0.3,5.30551,-13308.7
0.3,5.40735,-13154.9
0.3,5.50918,-13035.7
0.3,5.61102,-12936.5
0.3,5.71286,-12844.4
0.3,5.81469,-12768.9
0.3,5.91653,-12717.1
0.3,6.01837,-13047.1
0.3,6.1202,-12510
0.3,6.22204,-12639.3
0.3,6.32388,-12364.9
0.3,6.42571,-12258.7
0.3,6.52755,-12461.8
0.3,6.62939,-12217.7
0.3,6.73122,-12114.6
0.3,6.83306,-12043.9
0.3,6.9349,-12001.8
0.3,7.03673,-12036.2
0.3,7.13857,-nan
0.3,7.24041,-11751.5
0.3,7.34224,-11756.5
0.3,7.44408,-nan
0.3,7.54592,-11616.2
0.3,7.64776,-nan
0.3,7.74959,-11559.4
0.3,7.85143,-11436.5
0.3,7.95327,-nan
0.3,8.0551,-11575.9
0.3,8.15694,-11375.3
0.3,8.25878,-11294
0.3,8.36061,-11237.7
0.3,8.46245,-11196
0.3,8.56429,-11171.6
0.3,8.66612,-11189.1
0.3,8.76796,-11512.3
0.3,8.8698,-nan
0.3,8.97163,-10969.3
0.3,9.07347,-11027.6
0.3,9.17531,-nan
0.3,9.27714,-10875.1
0.3,9.37898,-12888.6
0.3,9.48082,-10800.3
0.3,9.58265,-nan
0.3,9.68449,-10771.8
0.3,9.78633,-10669.2
0.3,9.88816,-12780.8
0.3,9.99,-10708.8
0.3,10.0918,-10604.4
0.3,10.1937,-10548.1
0.3,10.2955,-nan
0.3,10.3973,-nan
0.3,10.4992,-12999.4
0.3,10.601,-11485.9
0.3,10.7029,-11882.9
0.3,10.8047,-nan
0.3,10.9065,-nan
0.3,11.0084,-10320.4
0.3,11.1102,-10311.9
0.3,11.212,-10324.4
0.3,11.3139,-10465.8
0.3,11.4157,-nan
0.3,11.5176,-10211.8
0.3,11.6194,-10293.5
0.3,11.7212,-nan
0.3,11.8231,-10156.5
0.3,11.9249,-10771.5
0.3,12.0267,-10095.7
0.3,12.1286,-10490.7
0.3,12.2304,-10063
0.3,12.3322,-13186.1
0.3,12.4341,-10051.9
0.3,12.5359,-nan
0.3,12.6378,-10244.9
0.3,12.7396,-9981.36
0.3,12.8414,-9911.09
0.3,12.9433,-12631.6
0.3,13.0451,-10021.5
0.3,13.1469,-9904.61
0.3,13.2488,-9852.29
0.3,13.3506,-9817.13
0.3,13.4524,-nan
0.3,13.5543,-nan
0.3,13.6561,-10583.3
0.3,13.758,-10216.5
0.3,13.8598,-10131.5
0.3,13.9616,-10158.6
0.3,14.0635,-10392.4
0.3,14.1653,-13795.3
0.3,14.2671,-nan
0.3,14.369,-nan
0.3,14.4708,-9642.59
0.3,14.5727,-9657.11
0.3,14.6745,-9695.31
0.3,14.7763,-9947.34
0.3,14.8782,-nan
0.3,14.98,-9564.45
0.3,15.0818,-9620.25
0.3,15.1837,-10211.8
0.3,15.2855,-9509.37
0.3,15.3873,-9562.35
0.3,15.4892,-10625.8
0.3,15.591,-9479.18
0.3,15.6929,-9613.8
0.3,15.7947,-nan
0.3,15.8965,-9511.17
0.3,15.9984,-nan
0.3,16.1002,-9470.08
0.3,16.202,-9378.73
0.3,16.3039,-nan
0.3,16.4057,-nan
0.3,16.5076,-9534.75
0.3,16.6094,-9355.8
0.3,16.7112,-9305.63
0.3,16.8131,-nan
0.3,16.9149,-nan
0.3,17.0167,-10056.5
0.3,17.1186,-9359.23
0.3,17.2204,-9272.32
0.3,17.3222,-9232.91
0.3,17.4241,-9213.92
0.3,17.5259,-nan
0.3,17.6278,-nan
0.3,17.7296,-nan
0.3,17.8314,-10707.6
0.3,17.9333,-9410.7
0.3,18.0351,-9270.22
0.3,18.1369,-9214.47
0.3,18.2388,-9179.25
0.3,18.3406,-9154.21
0.3,18.4424,-9132.61
0.3,18.5443,-9111.1
0.3,18.6461,-9103.19
0.3,18.748,-9085.18
0.3,18.8498,-9077.44
0.3,18.9516,-9066.43
0.3,19.0535,-9058.91
0.3,19.1553,-9051.44
0.3,19.2571,-9050.46
0.3,19.359,-9043
0.3,19.4608,-9042.37
0.3,19.5627,-9055.34
0.3,19.6645,-9075.22
0.3,19.7663,-9125.64
0.3,19.8682,-9287.85
0.3,19.97,-12957.5
0.3,20.0718,-nan
0.3,20.1737,-nan
0.3,20.2755,-nan
0.355102,0.01,-2.19903e+06
0.355102,0.111837,-246879
0.355102,0.213673,-133466
0.355102,0.31551,-92713.6
0.355102,0.417347,-71764.3
0.355102,0.519184,-59017.3
0.355102,0.62102,-50453.5
0.355102,0.722857,-44305.3
0.355102,0.824694,-39688.8
0.355102,0.926531,-36097.1
0.355102,1.02837,-33209.5
0.355102,1.1302,-30862.9
0.355102,1.23204,-28903
0.355102,1.33388,-27236
0.355102,1.43571,-25811.3
0.355102,1.53755,-24584.3
0.355102,1.63939,-23762.7
0.355102,1.74122,-22578.3
0.355102,1.84306,-21740.3
0.355102,1.9449,-20996
0.355102,2.04673,-20657.1
0.355102,2.14857,-19710.9
0.355102,2.25041,-19150.9
0.355102,2.35224,-18639.7
0.355102,2.45408,-18187.8
0.355102,2.55592,-17767.2
0.355102,2.65776,-17366.4
0.355102,2.75959,-17018.5
0.355102,2.86143,-16680.2
0.355102,2.96327,-17023.5
0.355102,3.0651,-16102
0.355102,3.16694,-15800.9
0.355102,3.26878,-15543.7
0.355102,3.37061,-15325.9
0.355102,3.47245,-15095.7
0.355102,3.57429,-14898.5
0.355102,3.67612,-14679.7
0.355102,3.77796,-14492.2
0.355102,3.8798,-14331.4
0.355102,3.98163,-14153.2
0.355102,4.08347,-13993.5
0.355102,4.18531,-13862
0.355102,4.28714,-13872.8
0.355102,4.38898,-13567.2
0.355102,4.49082,-nan
0.355102,4.59265,-13385.2
0.355102,4.69449,-13231.5
0.355102,4.79633,-13127.4
0.355102,4.89816,-13106
0.355102,5,-12852.4
0.355102,5.10184,-12785.4
0.355102,5.20367,-nan
0.355102,5.30551,-12623.2
0.355102,5.40735,-12496.8
0.355102,5.50918,-12397
0.355102,5.61102,-12314.4
0.355102,5.71286,-12231.2
0.355102,5.81469,-12174.7
0.355102,5.91653,-12127
0.355102,6.01837,-12390.1
0.355102,6.1202,-11959.3
0.355102,6.22204,-12057.6
0.355102,6.32388,-11840.6
0.355102,6.42571,-11761.2
0.355102,6.52755,-11913
0.355102,6.62939,-11715.4
0.355102,6.73122,-11634.5
0.355102,6.83306,-11575.8
0.355102,6.9349,-11542.1
0.355102,7.03673,-11564.1
0.355102,7.13857,-nan
0.355102,7.24041,-11335.6
0.355102,7.34224,-11338.3
0.355102,7.44408,-nan
0.355102,7.54592,-11229.1
0.355102,7.64776,-nan
0.355102,7.74959,-11175.4
0.355102,7.85143,-11076
0.355102,7.95327,-nan
0.355102,8.0551,-11187.5
0.355102,8.15694,-11030.1
0.355102,8.25878,-10961.8
0.355102,8.36061,-10917.5
0.355102,8.46245,-10891.2
0.355102,8.56429,-10865.9
0.355102,8.66612,-10881.6
0.355102,8.76796,-11128.4
0.355102,8.8698,-nan
0.355102,8.97163,-10704.2
0.355102,9.07347,-10746.9
0.355102,9.17531,-nan
0.355102,9.27714,-10631.3
0.355102,9.37898,-12051.6
0.355102,9.48082,-10568.6
0.355102,9.58265,-nan
0.355102,9.68449,-10552.3
0.355102,9.78633,-10467.4
0.355102,9.88816,-11957.5
0.355102,9.99,-10498.1
0.355102,10.0918,-10421.3
0.355102,10.1937,-10368.8
0.355102,10.2955,-nan
0.355102,10.3973,-nan
0.355102,10.4992,-12050.2
0.355102,10.601,-11069.9
0.355102,10.7029,-11340.8
0.355102,10.8047,-nan
0.355102,10.9065,-nan
0.355102,11.0084,-10189.5
0.355102,11.1102,-10187.8
0.355102,11.212,-10203.4
0.355102,11.3139,-10307
0.355102,11.4157,-nan
0.355102,11.5176,-10113.5
0.355102,11.6194,-10174.3
0.355102,11.7212,-nan
0.355102,11.8231,-10070.4
0.355102,11.9249,-10525.3
0.355102,12.0267,-10028.6
0.355102,12.1286,-10330.9
0.355102,12.2304,-9994.51
0.355102,12.3322,-12080.3
0.355102,12.4341,-9988.4
0.355102,12.5359,-nan
0.355102,12.6378,-10139
0.355102,12.7396,-9935.55
0.355102,12.8414,-9881.4
0.355102,12.9433,-11684.3
0.355102,13.0451,-9969.27
0.355102,13.1469,-9878.4
0.355102,13.2488,-9841.83
0.355102,13.3506,-9805.48
0.355102,13.4524,-nan
0.355102,13.5543,-nan
0.355102,13.6561,-10391.3
0.355102,13.758,-10118.4
0.355102,13.8598,-10052.4
0.355102,13.9616,-10074.5
0.355102,14.0635,-10249.3
0.355102,14.1653,-12268.4
0.355102,14.2671,-nan
0.355102,14.369,-nan
0.355102,14.4708,-9677.08
0.355102,14.5727,-9686.68
0.355102,14.6745,-9719.98
0.355102,14.7763,-9912.7
0.355102,14.8782,-nan
0.355102,14.98,-9618.3
0.355102,15.0818,-9662.32
0.355102,15.1837,-10112.8
0.355102,15.2855,-9578.56
0.355102,15.3873,-9619.47
0.355102,15.4892,-10396
0.355102,15.591,-9553.38
0.355102,15.6929,-9662.32
0.355102,15.7947,-nan
0.355102,15.8965,-9579.89
0.355102,15.9984,-nan
0.355102,16.1002,-9551.96
0.355102,16.202,-9479.14
0.355102,16.3039,-nan
0.355102,16.4057,-nan
0.355102,16.5076,-9605.56
0.355102,16.6094,-9468.83
0.355102,16.7112,-9416.69
0.355102,16.8131,-nan
0.355102,16.9149,-nan
0.355102,17.0167,-9998.36
0.355102,17.1186,-9472.38
0.355102,17.2204,-9407.17
0.355102,17.3222,-9379.23
0.355102,17.4241,-9354.77
0.355102,17.5259,-nan
0.355102,17.6278,-nan
0.355102,17.7296,-nan
0.355102,17.8314,-10432.4
0.355102,17.9333,-9513.66
0.355102,18.0351,-9404.96
0.355102,18.1369,-9360.61
0.355102,18.2388,-9326.62
0.355102,18.3406,-9316.32
0.355102,18.4424,-9299.32
0.355102,18.5443,-9289.02
0.355102,18.6461,-9275.55
0.355102,18.748,-9268.75
0.355102,18.8498,-9248.62
0.355102,18.9516,-9252.37
0.355102,19.0535,-9239.2
0.355102,19.1553,-9239.25
0.355102,19.2571,-9236.24
0.355102,19.359,-9233.17
0.355102,19.4608,-9230.22
0.355102,19.5627,-9244.18
0.355102,19.6645,-9258.13
0.355102,19.7663,-9302.72
0.355102,19.8682,-9435.52
0.355102,19.97,-11626.5
0.355102,20.0718,-nan
0.355102,20.1737,-nan
0.355102,20.2755,-nan
0.410204,0.01,-1.94906e+06
0.410204,0.111837,-216006
0.410204,0.213673,-116963
0.410204,0.31551,-81427.7
0.410204,0.417347,-63175.6
0.410204,0.519184,-52074.7
0.410204,0.62102,-44628.7
0.410204,0.722857,-39278.4
0.410204,0.824694,-35266.5
0.410204,0.926531,-32139.8
0.410204,1.02837,-29632.2
0.410204,1.1302,-27604.3
0.410204,1.23204,-25899.3
0.410204,1.33388,-24457.7
0.410204,1.43571,-23224.1
0.410204,1.53755,-22159.8
0.410204,1.63939,-21501.7
0.410204,1.74122,-20429.2
0.410204,1.84306,-19703.4
0.410204,1.9449,-19059.3
0.410204,2.04673,-18484.1
0.410204,2.14857,-17956.5
0.410204,2.25041,-17473.3
0.410204,2.35224,-17027.1
0.410204,2.45408,-16647.4
0.410204,2.55592,-16280.9
0.410204,2.65776,-15939.5
0.410204,2.75959,-15640.5
0.410204,2.86143,-15351.2
0.410204,2.96327,-15818.2
0.410204,3.0651,-14858.4
0.410204,3.16694,-14600.8
0.410204,3.26878,-14384.9
0.410204,3.37061,-14196.5
0.410204,3.47245,-13999.8
0.410204,3.57429,-13828.3
0.410204,3.67612,-13643.7
0.410204,3.77796,-13491.7
0.410204,3.8798,-13348.7
0.410204,3.98163,-13200.6
0.410204,4.08347,-13066.4
0.410204,4.18531,-12955.5
0.410204,4.28714,-12966.3
0.410204,4.38898,-12699.5
0.410204,4.49082,-nan
0.410204,4.59265,-12556.2
0.410204,4.69449,-12422.9
0.410204,4.79633,-12338.1
0.410204,4.89816,-12325
0.410204,5,-12113.3
0.410204,5.10184,-12053.5
0.410204,5.20367,-nan
0.410204,5.30551,-11920.7
0.410204,5.40735,-11806.9
0.410204,5.50918,-11729.7
0.410204,5.61102,-11665.2
0.410204,5.71286,-11593.1
0.410204,5.81469,-11543.7
0.410204,5.91653,-11506.8
0.410204,6.01837,-11731.9
0.410204,6.1202,-11368.8
0.410204,6.22204,-11456.1
0.410204,6.32388,-11265
0.410204,6.42571,-11197.9
0.410204,6.52755,-11340.7
0.410204,6.62939,-11172
0.410204,6.73122,-11106
0.410204,6.83306,-11058.2
0.410204,6.9349,-11025.5
0.410204,7.03673,-11047.9
0.410204,7.13857,-nan
0.410204,7.24041,-10864.2
0.410204,7.34224,-10859.7
0.410204,7.44408,-nan
0.410204,7.54592,-10776.9
0.410204,7.64776,-nan
0.410204,7.74959,-10735.2
0.410204,7.85143,-10652
0.410204,7.95327,-nan
0.410204,8.0551,-10750.7
0.410204,8.15694,-10622.7
0.410204,8.25878,-10563
0.410204,8.36061,-10530.5
0.410204,8.46245,-10502.7
0.410204,8.56429,-10489
0.410204,8.66612,-10506.4
0.410204,8.76796,-10700.5
0.410204,8.8698,-nan
0.410204,8.97163,-10359.7
0.410204,9.07347,-10396.2
0.410204,9.17531,-nan
0.410204,9.27714,-10302.4
0.410204,9.37898,-11425
0.410204,9.48082,-10254.9
0.410204,9.58265,-nan
0.410204,9.68449,-10239.6
0.410204,9.78633,-10175.4
0.410204,9.88816,-11366.3
0.410204,9.99,-10202.9
0.410204,10.0918,-10136.5
0.410204,10.1937,-10101.2
0.410204,10.2955,-nan
0.410204,10.3973,-nan
0.410204,10.4992,-11408.1
0.410204,10.601,-10682.4
0.410204,10.7029,-10875.3
0.410204,10.8047,-nan
0.410204,10.9065,-nan
0.410204,11.0084,-9957.13
0.410204,11.1102,-9961.56
