length_scale,process_noise,lml
0.5,0.01,-2.24366e+06
0.5,0.0304167,-794351
0.5,0.0508333,-484759
0.5,0.07125,-349625
0.5,0.0916667,-273853
0.5,0.112083,-225387
0.5,0.1325,-191718
0.5,0.152917,-166965
0.5,0.173333,-148011
0.5,0.19375,-133026
0.5,0.214167,-120886
0.5,0.234583,-110848
0.5,0.255,-102431
0.5,0.275417,-95249.8
0.5,0.295833,-89064.7
0.5,0.31625,-83723.3
0.5,0.336667,-78934.1
0.5,0.357083,-74745
0.5,0.3775,-71015.8
0.5,0.397917,-67658.7
0.5,0.418333,-64628.8
0.5,0.43875,-61896.4
0.5,0.459167,-59407
0.5,0.479583,-57114.3
0.5,0.5,-55033.2
0.6875,0.01,-1.33317e+06
0.6875,0.0304167,-468705
0.6875,0.0508333,-288434
0.6875,0.07125,-210043
0.6875,0.0916667,-166139
0.6875,0.112083,-138022
0.6875,0.1325,-118455
0.6875,0.152917,-104087
0.6875,0.173333,-93051.1
0.6875,0.19375,-84294.9
0.6875,0.214167,-77241.2
0.6875,0.234583,-71387.6
0.6875,0.255,-66434.3
0.6875,0.275417,-62275.6
0.6875,0.295833,-58664.2
0.6875,0.31625,-55596.3
0.6875,0.336667,-52760.5
0.6875,0.357083,-50335.3
0.6875,0.3775,-48158
0.6875,0.397917,-46241.6
0.6875,0.418333,-44491.2
0.6875,0.43875,-42952.4
0.6875,0.459167,-41551.5
0.6875,0.479583,-40371.7
0.6875,0.5,-nan
0.875,0.01,-887553
0.875,0.0304167,-317576
0.875,0.0508333,-200070
0.875,0.07125,-149020
0.875,0.0916667,-120384
0.875,0.112083,-102051
0.875,0.1325,-89275.1
0.875,0.152917,-79840.8
0.875,0.173333,-72608.3
0.875,0.19375,-66968.2
0.875,0.214167,-62341.3
0.875,0.234583,-58569.6
0.875,0.255,-55459.5
0.875,0.275417,-52819.7
0.875,0.295833,-50693.3
0.875,0.31625,-49012.1
0.875,0.336667,-47558.7
0.875,0.357083,-nan
0.875,0.3775,-nan
0.875,0.397917,-nan
0.875,0.418333,-nan
0.875,0.43875,-nan
0.875,0.459167,-nan
0.875,0.479583,-nan
0.875,0.5,-nan
1.0625,0.01,-645366
1.0625,0.0304167,-239148
1.0625,0.0508333,-155633
1.0625,0.07125,-119271
1.0625,0.0916667,-98800.7
1.0625,0.112083,-85766.3
1.0625,0.1325,-76680.8
1.0625,0.152917,-70054.8
