length_scale,process_noise,lml
0.5,0.01,-1.91293e+06
0.5,0.02,-1.03632e+06
0.5,0.03,-713109
0.5,0.04,-544645
0.5,0.05,-441142
0.5,0.06,-371099
0.5,0.07,-320528
0.5,0.08,-282293
0.5,0.09,-252375
0.5,0.1,-228316
0.5,0.11,-208541
0.5,0.12,-192019
0.5,0.13,-177983
0.5,0.14,-165939
0.5,0.15,-155463
0.5,0.16,-146289
0.5,0.17,-138180
0.5,0.18,-130955
0.5,0.19,-124484
0.5,0.2,-118656
0.5,0.21,-113373
0.5,0.22,-108570
0.5,0.23,-104186
0.5,0.24,-100162
0.5,0.25,-96454.4
0.5,0.26,-93028.4
0.5,0.27,-89855.3
0.5,0.28,-86911.5
0.5,0.29,-84164.1
0.5,0.3,-81601.7
0.5,0.31,-79207.2
0.5,0.32,-76955.5
0.5,0.33,-74847.2
0.5,0.34,-72854
0.5,0.35,-70979.1
0.5,0.36,-69210.7
0.5,0.37,-67529.8
0.5,0.38,-65934.4
0.5,0.39,-64441.2
0.5,0.4,-63007.4
0.5,0.41,-61645.2
0.5,0.42,-60343.4
0.5,0.43,-59119
0.5,0.44,-57932.5
0.5,0.45,-56808
0.5,0.46,-55728.1
0.5,0.47,-54693.8
0.5,0.48,-53704.9
0.5,0.49,-52756.4
0.5,0.5,-51846
0.591837,0.01,-1.51278e+06
0.591837,0.02,-812273
0.591837,0.03,-558105
0.591837,0.04,-426452
0.591837,0.05,-345858
0.591837,0.06,-291429
0.591837,0.07,-252181
0.591837,0.08,-222524
0.591837,0.09,-199348
0.591837,0.1,-180717
0.591837,0.11,-165396
0.591837,0.12,-152618
0.591837,0.13,-141750
0.591837,0.14,-132408
0.591837,0.15,-124317
0.591837,0.16,-117203
0.591837,0.17,-110918
0.591837,0.18,-105334
0.591837,0.19,-100316
0.591837,0.2,-95792.8
0.591837,0.21,-91701.7
0.591837,0.22,-87967.8
0.591837,0.23,-84558.6
0.591837,0.24,-81434.6
0.591837,0.25,-78554.1
0.591837,0.26,-75897.3
0.591837,0.27,-73420.2
0.591837,0.28,-71129.4
0.591837,0.29,-68984.3
0.591837,0.3,-66994.9
0.591837,0.31,-65125
0.591837,0.32,-63368.6
0.591837,0.33,-61708.2
0.591837,0.34,-60165.1
0.591837,0.35,-58694.5
0.591837,0.36,-57304.8
0.591837,0.37,-55984
0.591837,0.38,-54742.2
0.591837,0.39,-53572.3
0.591837,0.4,-52448.3
0.591837,0.41,-51380.1
0.591837,0.42,-50346.1
0.591837,0.43,-49375.2
0.591837,0.44,-48455.3
0.591837,0.45,-47579.7
0.591837,0.46,-46718.1
0.591837,0.47,-45901.3
0.591837,0.48,-45109.7
0.591837,0.49,-44369.7
0.591837,0.5,-43652.5
0.683673,0.01,-1.22015e+06
0.683673,0.02,-651424
0.683673,0.03,-447563
0.683673,0.04,-342452
0.683673,0.05,-278294
0.683673,0.06,-234995
0.683673,0.07,-203806
0.683673,0.08,-180271
0.683673,0.09,-161861
0.683673,0.1,-147070
0.683673,0.11,-134924
0.683673,0.12,-124772
0.683673,0.13,-116175
0.683673,0.14,-108776
0.683673,0.15,-102337
0.683673,0.16,-96681.7
0.683673,0.17,-91706.8
0.683673,0.18,-87277
0.683673,0.19,-83292.8
0.683673,0.2,-79699.4
0.683673,0.21,-76435.2
0.683673,0.22,-73489.8
0.683673,0.23,-70801.8
0.683673,0.24,-68306.1
0.683673,0.25,-66015.7
0.683673,0.26,-63900.5
0.683673,0.27,-61944.2
0.683673,0.28,-60111
0.683673,0.29,-58425.8
0.683673,0.3,-56848.8
0.683673,0.31,-55347.7
0.683673,0.32,-53958.7
0.683673,0.33,-52651.2
0.683673,0.34,-51416.2
0.683673,0.35,-50249.1
0.683673,0.36,-49126.1
0.683673,0.37,-48104.1
0.683673,0.38,-47102.8
0.683673,0.39,-46182.7
0.683673,0.4,-45273.7
0.683673,0.41,-44416.1
0.683673,0.42,-43630
0.683673,0.43,-42837.7
0.683673,0.44,-42086.1
0.683673,0.45,-41380.9
0.683673,0.46,-40683.4
0.683673,0.47,-40044.1
0.683673,0.48,-39428.2
0.683673,0.49,-38819.9
0.683673,0.5,-38274
0.77551,0.01,-1.00377e+06
0.77551,0.02,-534438
0.77551,0.03,-367794
0.77551,0.04,-282210
0.77551,0.05,-230040
0.77551,0.06,-194888
0.77551,0.07,-169554
0.77551,0.08,-150451
0.77551,0.09,-135509
0.77551,0.1,-123506
0.77551,0.11,-113661
0.77551,0.12,-105415
0.77551,0.13,-98423.1
0.77551,0.14,-92407.8
