//X,Y,Z,intensity,ping_no
-252.53298950,114.02806854,-7.52167988,-510.000000,21.000000
-252.50807190,114.08921051,-7.50787830,-510.000000,21.000000
-252.48016357,114.15777588,-7.50998020,-510.000000,21.000000
-252.45516968,114.21908569,-7.49473763,-510.000000,21.000000
-252.42707825,114.28807831,-7.49524975,-510.000000,21.000000
-252.39486694,114.36727142,-7.50997162,-510.000000,21.000000
-252.35894775,114.45566559,-7.53948307,-510.000000,21.000000
-252.32624817,114.53604889,-7.55200577,-510.000000,21.000000
-252.28973389,114.62586975,-7.57912159,-510.000000,21.000000
-252.26329041,114.69069672,-7.55727959,-510.000000,21.000000
-252.23716736,114.75475311,-7.53517246,-510.000000,21.000000
-252.21078491,114.81945801,-7.51181984,-510.000000,21.000000
-252.18470764,114.88338470,-7.48821545,-510.000000,21.000000
-252.16168213,114.93973541,-7.44712067,-510.000000,21.000000
-252.13487244,115.00545502,-7.42052364,-510.000000,21.000000
-252.10810852,115.07106781,-7.39313030,-510.000000,21.000000
-252.08137512,115.13656616,-7.36494064,-510.000000,21.000000
-252.04154968,115.23447418,-7.37861061,-510.000000,21.000000
-252.00172424,115.33235931,-7.39132977,-510.000000,21.000000
-251.96134949,115.43159485,-7.40196133,-510.000000,21.000000
-251.91671753,115.54133606,-7.42607594,-510.000000,21.000000
-251.86653137,115.66476440,-7.46091080,-510.000000,21.000000
-251.81150818,115.80017853,-7.50783062,-510.000000,21.000000
-251.76033020,115.92601776,-7.53830528,-510.000000,21.000000
-251.70422363,116.06404877,-7.58057594,-510.000000,21.000000
-251.66003418,116.17256165,-7.57623482,-510.000000,21.000000
-251.61132813,116.29223633,-7.58447170,-510.000000,21.000000
-251.56201172,116.41338348,-7.58994484,-510.000000,21.000000
-251.51269531,116.53453827,-7.59404373,-510.000000,21.000000
-251.46192932,116.65926361,-7.59308338,-510.000000,21.000000
-251.41085815,116.78466034,-7.58989239,-510.000000,21.000000
-251.35954285,116.91069031,-7.58445358,-510.000000,21.000000
-251.30303955,117.04952240,-7.58959103,-510.000000,21.000000
-251.24470520,117.19279480,-7.58808327,-510.000000,21.000000
-251.18098450,117.34933472,-7.59631538,-510.000000,21.000000
-251.11683655,117.50691223,-7.60142422,-510.000000,21.000000
-251.05229187,117.66548157,-7.60338402,-510.000000,21.000000
-250.97514343,117.85507965,-7.62083721,-510.000000,21.000000
-250.89768982,118.04539490,-7.63505936,-510.000000,21.000000
-250.81936646,118.23779297,-7.64418602,-510.000000,21.000000
-250.74081421,118.43077850,-7.65006351,-510.000000,21.000000
-250.64303589,118.67111206,-7.67761326,-510.000000,21.000000
-250.53890991,118.92701721,-7.71043682,-510.000000,21.000000
-250.43946838,119.17136383,-7.72606564,-510.000000,21.000000
-250.33366394,119.43134308,-7.74646473,-510.000000,21.000000
-250.19595337,119.76985931,-7.80263519,-510.000000,21.000000
-250.05119324,120.12574005,-7.85979557,-510.000000,21.000000
-249.91084290,120.47067261,-7.89709091,-510.000000,21.000000
-249.76345825,120.83287048,-7.93474865,-510.000000,21.000000
-257.37322998,102.34748840,-8.23335457,-510.000000,22.000000
-257.27978516,102.57766724,-8.22680759,-510.000000,22.000000
-257.19213867,102.79370117,-8.22760582,-510.000000,22.000000
-257.10531616,103.00760651,-8.22260666,-510.000000,22.000000
-257.01873779,103.22088623,-8.21398735,-510.000000,22.000000
-256.93466187,103.42794037,-8.19468498,-510.000000,22.000000
-256.85644531,103.62059021,-8.18312359,-510.000000,22.000000
-256.77877808,103.81189728,-8.16762543,-510.000000,22.000000
-256.70166016,104.00180817,-8.14822769,-510.000000,22.000000
-256.63687134,104.16142273,-8.14547920,-510.000000,22.000000
-256.57751465,104.30773163,-8.15240765,-510.000000,22.000000
-256.51345825,104.46552277,-8.14385605,-510.000000,22.000000
-256.45477295,104.61019135,-8.14532280,-510.000000,22.000000
-256.38787842,104.77482605,-8.11464500,-510.000000,22.000000
-256.32122803,104.93886566,-8.08176231,-510.000000,22.000000
-256.25546265,105.10071564,-8.04507256,-510.000000,22.000000
-256.18997192,105.26188660,-8.00619125,-510.000000,22.000000
-256.14028931,105.38428497,-8.00230980,-510.000000,22.000000
-256.09548950,105.49468994,-8.01019287,-510.000000,22.000000
-256.04635620,105.61578369,-8.00244141,-510.000000,22.000000
-256.00198364,105.72510529,-8.00673294,-510.000000,22.000000
-255.94985962,105.85339355,-7.97897434,-510.000000,22.000000
-255.90225220,105.97063446,-7.96405268,-510.000000,22.000000
-255.85092163,106.09691620,-7.93224096,-510.000000,22.000000
-255.80403137,106.21236420,-7.91350317,-510.000000,22.000000
-255.76686096,106.30398560,-7.92026567,-510.000000,22.000000
-255.72982788,106.39527130,-7.92573690,-510.000000,22.000000
-255.69294739,106.48619843,-7.92992449,-510.000000,22.000000
-255.66026306,106.56680298,-7.94775438,-510.000000,22.000000
-255.62052917,106.66464996,-7.93275261,-510.000000,22.000000
-255.58074951,106.76259613,-7.91692543,-510.000000,22.000000
-255.54153442,106.85910034,-7.89914608,-510.000000,22.000000
-255.50616455,106.94625092,-7.89585495,-510.000000,22.000000
-255.46777344,107.04074097,-7.87491703,-510.000000,22.000000
